class,GLCM_pan,Mean_Green,Mean_Red,Mean_NIR,SD_pan,SSE
n,109.8285714,183.7,82.95,251.75,16.0794123,795.4908353288573
n,130.2844828,212.637931,96.89655172,482.3965517,21.21029549,68.98885807550631
n,131.3865546,185.4666667,85.46666667,419.6666667,13.33999833,1753.1971383660434
n,141.345098,180.875,81.5,348.0625,18.21357667,2026.0846354110379
w,121.3834081,218.3571429,112.0178571,426.6071429,19.08319594,2554.9551580258003
n,122.7575758,205.96,86.76,407.68,17.82357989,700.3305591701431
w,124.0102041,215.5945946,117.027027,477.2972973,24.57462807,288.53254853565676
w,125.6084071,209.6491228,121.2280702,443.2807018,25.75731376,2108.281317282858
n,107.7458333,204.1333333,83.46666667,479.8666667,22.95696457,918.339739588069
n,140.2039216,188.59375,84.4375,457.25,30.19375906,2003.7216432160371
n,122.7924528,199.7407407,108.4814815,384.7407407,23.01890587,287.1753393896936
n,117.427907,191.1851852,86.55555556,429.7037037,24.76556749,2433.6960359201166
n,130.9663568,256.3521127,166.6830986,506.9647887,18.46224239,6337.507985747757
n,132.6788212,259.1269841,170.3412698,519.9126984,23.55045831,7775.203887417976
n,132.6788212,259.1269841,170.3412698,519.9126984,23.55045831,7775.203887417976
n,133.7529762,179.7142857,85.23809524,387.8095238,19.73222097,626.0892108343072
w,116.9489529,214.5625,127.75,390.2083333,23.07050636,1549.7974785805286
w,116.9489529,214.5625,127.75,390.2083333,23.07050636,1549.7974785805286
n,136.4417989,214.0416667,115.25,579.4166667,17.01041348,397.83593945296417
w,125.0748032,254.8125,147.5,388.25,20.22442444,3009.6272861183343
n,144.1078067,186.9411765,77.35294118,468.4117647,20.46839069,2030.052548701663
w,121.0942029,219.4230769,122.4230769,536,30.7144705,2590.776061208123
n,136.5666667,196.3888889,86.66666667,364.6666667,24.78437879,491.56545911066416
n,115.8912281,220.3333333,103.4722222,588.3611111,25.09148385,156.06058480838314
w,132.5069444,206.3703704,109.2592593,532.962963,28.78142405,2545.6806242467856
n,121.0646688,189.125,92.575,289.975,14.14204724,1321.9227406952107
w,138.3922652,200.2352941,103.2941176,431.4117647,22.16531159,2507.965653410835
n,124.08,219.1590909,98.25,638.0681818,22.00022305,2407.798498475379
n,139.5067485,231.1568627,105.8235294,780.7843137,27.49605543,1518.932902923923
n,99.15972222,241.2222222,116.7777778,644.2222222,34.62818377,2543.8274532045125
n,142.8863636,196,86,408,23.26562392,891.2085397518911
n,115.4145861,248.3854167,119.71875,695.1666667,16.55538041,695.3180927998684
n,126.4508929,170.7142857,70.21428571,251.9285714,27.89448047,1519.645074190047
n,116.1842105,185.28,77.58,414.18,37.86887376,1844.848995053612
n,127.3010417,202.5666667,112.2333333,390.6,19.31449513,442.2507929308542
w,131.2553846,188.8433735,95.21686747,246.4578313,12.9995701,237.78884157507076
n,120.9151786,194.2857143,86,364.8571429,28.25440186,545.4258272397594
n,132.0470325,173.0877193,72.15789474,230.3684211,10.49943937,1904.3460391856152
n,113.4296482,178.52,78.96,209.48,8.50449293,3225.1004319107856
w,139.4305556,200.5555556,111.1111111,484.2222222,24.51303508,472.8205059288243
w,126.8205128,203.244898,107.1020408,435.4081633,19.46005852,2634.4623647331423
w,128.1207658,196.3023256,111.3953488,345.1860465,17.70196751,1873.2596457911955
n,141.8242188,220.875,101.8125,784.5,36.68696763,2093.2090116292957
n,131.6105442,208.7567568,93.91891892,596.4054054,27.19832204,506.797816327653
n,132.0265096,244.0697674,123.2325581,703.9302326,23.60163803,796.03133286271
n,138.5376176,204.225,103.675,343.4,27.87372194,1844.1591233851746
