class,GLCM_pan,Mean_Green,Mean_Red,Mean_NIR,SD_pan,SSE
n,109.8285714,183.7,82.95,251.75,16.0794123,1768.0568774218177
n,130.2844828,212.637931,96.89655172,482.3965517,21.21029549,468.9291732637441
n,131.3865546,185.4666667,85.46666667,419.6666667,13.33999833,588.0488149717403
n,141.345098,180.875,81.5,348.0625,18.21357667,565.7684660156226
w,121.3834081,218.3571429,112.0178571,426.6071429,19.08319594,1158.284491734507
n,122.7575758,205.96,86.76,407.68,17.82357989,103.90677998610374
w,124.0102041,215.5945946,117.027027,477.2972973,24.57462807,809.0944501196258
w,125.6084071,209.6491228,121.2280702,443.2807018,25.75731376,1038.0105362851386
n,107.7458333,204.1333333,83.46666667,479.8666667,22.95696457,942.5847475661828
n,140.2039216,188.59375,84.4375,457.25,30.19375906,660.5662430427761
n,122.7924528,199.7407407,108.4814815,384.7407407,23.01890587,834.9265465506662
n,117.427907,191.1851852,86.55555556,429.7037037,24.76556749,767.6293492465202
n,130.9663568,256.3521127,166.6830986,506.9647887,18.46224239,1288.8899240645492
n,132.6788212,259.1269841,170.3412698,519.9126984,23.55045831,1865.9509658386482
n,132.6788212,259.1269841,170.3412698,519.9126984,23.55045831,1865.9509658386482
n,133.7529762,179.7142857,85.23809524,387.8095238,19.73222097,949.9194848017901
w,116.9489529,214.5625,127.75,390.2083333,23.07050636,1911.8022434116028
w,116.9489529,214.5625,127.75,390.2083333,23.07050636,1911.8022434116028
n,136.4417989,214.0416667,115.25,579.4166667,17.01041348,533.0968641143692
w,125.0748032,254.8125,147.5,388.25,20.22442444,1349.3168952553083
n,144.1078067,186.9411765,77.35294118,468.4117647,20.46839069,1048.5557612869607
w,121.0942029,219.4230769,122.4230769,536,30.7144705,1222.1407787012997
n,136.5666667,196.3888889,86.66666667,364.6666667,24.78437879,341.61273854890464
n,115.8912281,220.3333333,103.4722222,588.3611111,25.09148385,579.469816085686
w,132.5069444,206.3703704,109.2592593,532.962963,28.78142405,506.8872285213278
n,121.0646688,189.125,92.575,289.975,14.14204724,178.0862876703788
w,138.3922652,200.2352941,103.2941176,431.4117647,22.16531159,850.8241345930843
n,124.08,219.1590909,98.25,638.0681818,22.00022305,660.5495523336972
n,139.5067485,231.1568627,105.8235294,780.7843137,27.49605543,450.3789658747149
n,99.15972222,241.2222222,116.7777778,644.2222222,34.62818377,1455.892233038493
n,142.8863636,196,86,408,23.26562392,278.1466322702394
n,115.4145861,248.3854167,119.71875,695.1666667,16.55538041,1016.904832892677
n,126.4508929,170.7142857,70.21428571,251.9285714,27.89448047,1956.776500581053
