class,GLCM_pan,Mean_Green,Mean_Red,Mean_NIR,SD_pan,SSE
n,109.8285714,183.7,82.95,251.75,16.0794123,1238.157915910817
n,130.2844828,212.637931,96.89655172,482.3965517,21.21029549,601.1987632510995
n,131.3865546,185.4666667,85.46666667,419.6666667,13.33999833,608.5926979081905
n,141.345098,180.875,81.5,348.0625,18.21357667,690.4086097393351
w,121.3834081,218.3571429,112.0178571,426.6071429,19.08319594,601.0485937221617
n,122.7575758,205.96,86.76,407.68,17.82357989,443.56139735690067
w,124.0102041,215.5945946,117.027027,477.2972973,24.57462807,1183.4526036620648
w,125.6084071,209.6491228,121.2280702,443.2807018,25.75731376,1114.5961241202888
n,107.7458333,204.1333333,83.46666667,479.8666667,22.95696457,1416.393999177487
n,140.2039216,188.59375,84.4375,457.25,30.19375906,1522.4296793004528
n,122.7924528,199.7407407,108.4814815,384.7407407,23.01890587,1958.6908053202226
n,117.427907,191.1851852,86.55555556,429.7037037,24.76556749,384.17678523689284
n,130.9663568,256.3521127,166.6830986,506.9647887,18.46224239,4018.9808443526954
n,132.6788212,259.1269841,170.3412698,519.9126984,23.55045831,5871.471891836294
n,132.6788212,259.1269841,170.3412698,519.9126984,23.55045831,5871.471891836294
n,133.7529762,179.7142857,85.23809524,387.8095238,19.73222097,2183.953256519286
w,116.9489529,214.5625,127.75,390.2083333,23.07050636,2655.930516339727
w,116.9489529,214.5625,127.75,390.2083333,23.07050636,2655.930516339727
n,136.4417989,214.0416667,115.25,579.4166667,17.01041348,385.6541885191004
w,125.0748032,254.8125,147.5,388.25,20.22442444,3428.743592942446
n,144.1078067,186.9411765,77.35294118,468.4117647,20.46839069,2672.6029904952543
w,121.0942029,219.4230769,122.4230769,536,30.7144705,1542.4272586035268
n,136.5666667,196.3888889,86.66666667,364.6666667,24.78437879,820.6183336934797
n,115.8912281,220.3333333,103.4722222,588.3611111,25.09148385,187.13892672169538
w,132.5069444,206.3703704,109.2592593,532.962963,28.78142405,922.5635863764562
n,121.0646688,189.125,92.575,289.975,14.14204724,2496.979456530033
w,138.3922652,200.2352941,103.2941176,431.4117647,22.16531159,251.2012236120373
n,124.08,219.1590909,98.25,638.0681818,22.00022305,500.77732696394713
n,139.5067485,231.1568627,105.8235294,780.7843137,27.49605543,1737.4105733232213
n,99.15972222,241.2222222,116.7777778,644.2222222,34.62818377,1214.9317724161783
n,142.8863636,196,86,408,23.26562392,650.3289216837375
n,115.4145861,248.3854167,119.71875,695.1666667,16.55538041,2316.2280055254155
n,126.4508929,170.7142857,70.21428571,251.9285714,27.89448047,2052.0456769369785
