class,GLCM_pan,Mean_Green,Mean_Red,Mean_NIR,SD_pan,SSE
n,109.8285714,183.7,82.95,251.75,16.0794123,1781.8240155017313
n,130.2844828,212.637931,96.89655172,482.3965517,21.21029549,390.0686442919621
n,131.3865546,185.4666667,85.46666667,419.6666667,13.33999833,1003.4583128708749
n,141.345098,180.875,81.5,348.0625,18.21357667,1130.3948345954989
w,121.3834081,218.3571429,112.0178571,426.6071429,19.08319594,1436.8580906348463
n,122.7575758,205.96,86.76,407.68,17.82357989,220.17371557368074
w,124.0102041,215.5945946,117.027027,477.2972973,24.57462807,725.9388115579673
w,125.6084071,209.6491228,121.2280702,443.2807018,25.75731376,1089.6294183939913
n,107.7458333,204.1333333,83.46666667,479.8666667,22.95696457,870.531251270692
n,140.2039216,188.59375,84.4375,457.25,30.19375906,720.8532848339418
n,122.7924528,199.7407407,108.4814815,384.7407407,23.01890587,439.866368199607
n,117.427907,191.1851852,86.55555556,429.7037037,24.76556749,1357.088749919455
n,130.9663568,256.3521127,166.6830986,506.9647887,18.46224239,3050.141530952637
n,132.6788212,259.1269841,170.3412698,519.9126984,23.55045831,4630.5013582100955
n,132.6788212,259.1269841,170.3412698,519.9126984,23.55045831,4630.5013582100955
n,133.7529762,179.7142857,85.23809524,387.8095238,19.73222097,806.4972579443922
w,116.9489529,214.5625,127.75,390.2083333,23.07050636,1457.9913054414312
w,116.9489529,214.5625,127.75,390.2083333,23.07050636,1457.9913054414312
n,136.4417989,214.0416667,115.25,579.4166667,17.01041348,583.3602067532289
w,125.0748032,254.8125,147.5,388.25,20.22442444,4570.097962136563
n,144.1078067,186.9411765,77.35294118,468.4117647,20.46839069,1079.7326176096233
w,121.0942029,219.4230769,122.4230769,536,30.7144705,612.1134690321952
n,136.5666667,196.3888889,86.66666667,364.6666667,24.78437879,1275.8173253649477
n,115.8912281,220.3333333,103.4722222,588.3611111,25.09148385,154.643039801912
w,132.5069444,206.3703704,109.2592593,532.962963,28.78142405,251.4296596674496
n,121.0646688,189.125,92.575,289.975,14.14204724,1169.3535411013186
w,138.3922652,200.2352941,103.2941176,431.4117647,22.16531159,1270.8420518844025
n,124.08,219.1590909,98.25,638.0681818,22.00022305,852.7638526366837
n,139.5067485,231.1568627,105.8235294,780.7843137,27.49605543,1550.7806316148794
n,99.15972222,241.2222222,116.7777778,644.2222222,34.62818377,1380.1759080194072
n,142.8863636,196,86,408,23.26562392,430.13493440770696
n,115.4145861,248.3854167,119.71875,695.1666667,16.55538041,1723.2222988610763
n,126.4508929,170.7142857,70.21428571,251.9285714,27.89448047,2702.104576275034
n,116.1842105,185.28,77.58,414.18,37.86887376,1235.4011551232677
n,127.3010417,202.5666667,112.2333333,390.6,19.31449513,414.5894352390762
w,131.2553846,188.8433735,95.21686747,246.4578313,12.9995701,734.1263018300746
n,120.9151786,194.2857143,86,364.8571429,28.25440186,1326.533161080275
n,132.0470325,173.0877193,72.15789474,230.3684211,10.49943937,1553.9912676883857
n,113.4296482,178.52,78.96,209.48,8.50449293,1409.6718798384286
w,139.4305556,200.5555556,111.1111111,484.2222222,24.51303508,853.956591236226
w,126.8205128,203.244898,107.1020408,435.4081633,19.46005852,994.9290606724471
w,128.1207658,196.3023256,111.3953488,345.1860465,17.70196751,1066.4213344008447
n,141.8242188,220.875,101.8125,784.5,36.68696763,2379.191367014168
n,131.6105442,208.7567568,93.91891892,596.4054054,27.19832204,381.0130491863423
n,132.0265096,244.0697674,123.2325581,703.9302326,23.60163803,1931.4599600658266
n,138.5376176,204.225,103.675,343.4,27.87372194,897.0771243114722
w,131.8457944,184.9705882,91.42647059,307.3235294,15.18652768,363.99793686467854
n,136.7425432,190.6875,81.85,338.6,19.53598843,422.14904400767284
n,113.2250923,213.2352941,106.2941176,501.3529412,16.60283046,1037.6820873135975
w,119.6692913,200.5,104,328.25,14.75211849,417.1666620463722
n,116.0950783,185.0535714,81.05357143,344.625,19.46463794,888.7222191640875
w,130.5940594,188.8421053,99.73684211,314,15.05403472,254.08912406441326
w,130.3398414,211,110.815534,616.9805825,22.95875313,793.7630640540801
w,112.8675497,207.3684211,117.8947368,544.1578947,24.35995078,862.1033235866528
n,129.10625,171.1,66.6,225.2,19.1039263,1912.3049654112497
n,134.9041667,212.4666667,92.4,633.2666667,30.30174179,1515.9640746478328
n,115.4009662,205.8846154,89.57692308,397.5,22.93833385,198.63866326767538
n,113.96521,216.4797297,100.2567568,507.0945946,25.83007188,604.6564719532719
w,131.140625,206.6875,107.0625,561.1875,29.75498908,1282.4609140070836
n,139.0142857,183.2727273,78.77272727,365.5909091,15.50159949,1873.7685987327015
w,113.9635417,195.0555556,106.5833333,303.7222222,24.09158195,880.6806090797008
n,122.7918437,192.2702703,78.75675676,314.2702703,19.13395648,217.67165614116857
w,136.1621622,189.5714286,99.57142857,331.5714286,15.59042092,320.88534618607054
w,118.1553229,176.8611111,87.55555556,262.0833333,21.75301526,2428.684167052586
w,132.325,203.6,120.68,378.32,24.0028665,1116.2151098916918
n,142.8647059,185.3125,77.5625,363.75,16.21908116,2036.8472337394114
n,112.67621,226.6195652,103.2608696,857.9130435,29.83076082,1098.47087669795
