class,GLCM_pan,Mean_Green,Mean_Red,Mean_NIR,SD_pan,SSE
n,109.8285714,183.7,82.95,251.75,16.0794123,1733.3174396748166
n,130.2844828,212.637931,96.89655172,482.3965517,21.21029549,484.200108796702
n,131.3865546,185.4666667,85.46666667,419.6666667,13.33999833,1023.6973826251633
n,141.345098,180.875,81.5,348.0625,18.21357667,1064.423715121379
w,121.3834081,218.3571429,112.0178571,426.6071429,19.08319594,1466.5773121180434
n,122.7575758,205.96,86.76,407.68,17.82357989,227.34226305997927
w,124.0102041,215.5945946,117.027027,477.2972973,24.57462807,819.3189303480126
w,125.6084071,209.6491228,121.2280702,443.2807018,25.75731376,1026.8806527584125
n,107.7458333,204.1333333,83.46666667,479.8666667,22.95696457,946.1703214832294
n,140.2039216,188.59375,84.4375,457.25,30.19375906,660.1462844717394
n,122.7924528,199.7407407,108.4814815,384.7407407,23.01890587,428.08212401829076
n,117.427907,191.1851852,86.55555556,429.7037037,24.76556749,1384.5607363137908
n,130.9663568,256.3521127,166.6830986,506.9647887,18.46224239,3222.1794066720286
n,132.6788212,259.1269841,170.3412698,519.9126984,23.55045831,4887.914622675331
n,132.6788212,259.1269841,170.3412698,519.9126984,23.55045831,4887.914622675331
n,133.7529762,179.7142857,85.23809524,387.8095238,19.73222097,796.1276168918558
w,116.9489529,214.5625,127.75,390.2083333,23.07050636,1453.5351623922302
w,116.9489529,214.5625,127.75,390.2083333,23.07050636,1453.5351623922302
n,136.4417989,214.0416667,115.25,579.4166667,17.01041348,378.8982600795505
w,125.0748032,254.8125,147.5,388.25,20.22442444,4238.295606133428
n,144.1078067,186.9411765,77.35294118,468.4117647,20.46839069,1059.321174177424
w,121.0942029,219.4230769,122.4230769,536,30.7144705,817.8353643452766
n,136.5666667,196.3888889,86.66666667,364.6666667,24.78437879,1244.1122111482844
n,115.8912281,220.3333333,103.4722222,588.3611111,25.09148385,179.87757187075835
w,132.5069444,206.3703704,109.2592593,532.962963,28.78142405,372.73182798065574
n,121.0646688,189.125,92.575,289.975,14.14204724,1154.600461560264
w,138.3922652,200.2352941,103.2941176,431.4117647,22.16531159,1123.7519836472115
n,124.08,219.1590909,98.25,638.0681818,22.00022305,196.90495262159465
n,139.5067485,231.1568627,105.8235294,780.7843137,27.49605543,433.60193374730125
n,99.15972222,241.2222222,116.7777778,644.2222222,34.62818377,1135.8809972605304
n,142.8863636,196,86,408,23.26562392,442.2782468391374
