class,GLCM_pan,Mean_Green,Mean_Red,Mean_NIR,SD_pan,SSE
n,109.8285714,183.7,82.95,251.75,16.0794123,541.4283613359911
n,130.2844828,212.637931,96.89655172,482.3965517,21.21029549,54.99969360428871
n,131.3865546,185.4666667,85.46666667,419.6666667,13.33999833,691.8843065583766
n,141.345098,180.875,81.5,348.0625,18.21357667,790.6445320294351
w,121.3834081,218.3571429,112.0178571,426.6071429,19.08319594,756.7800586975601
n,122.7575758,205.96,86.76,407.68,17.82357989,623.8099189230891
w,124.0102041,215.5945946,117.027027,477.2972973,24.57462807,563.2263251132425
w,125.6084071,209.6491228,121.2280702,443.2807018,25.75731376,1007.0412262683066
n,107.7458333,204.1333333,83.46666667,479.8666667,22.95696457,646.7975551906419
n,140.2039216,188.59375,84.4375,457.25,30.19375906,1012.7334044169099
n,122.7924528,199.7407407,108.4814815,384.7407407,23.01890587,394.2067100201063
n,117.427907,191.1851852,86.55555556,429.7037037,24.76556749,298.3410888310736
n,130.9663568,256.3521127,166.6830986,506.9647887,18.46224239,1697.3257019714881
n,132.6788212,259.1269841,170.3412698,519.9126984,23.55045831,1941.316617539211
n,132.6788212,259.1269841,170.3412698,519.9126984,23.55045831,1941.316617539211
n,133.7529762,179.7142857,85.23809524,387.8095238,19.73222097,465.0104200260956
w,116.9489529,214.5625,127.75,390.2083333,23.07050636,1843.2933757317987
w,116.9489529,214.5625,127.75,390.2083333,23.07050636,1843.2933757317987
n,136.4417989,214.0416667,115.25,579.4166667,17.01041348,436.690068760485
w,125.0748032,254.8125,147.5,388.25,20.22442444,1260.392378171769
n,144.1078067,186.9411765,77.35294118,468.4117647,20.46839069,1121.763490798165
w,121.0942029,219.4230769,122.4230769,536,30.7144705,955.6606986698864
n,136.5666667,196.3888889,86.66666667,364.6666667,24.78437879,499.23451840062904
n,115.8912281,220.3333333,103.4722222,588.3611111,25.09148385,318.7153217388876
w,132.5069444,206.3703704,109.2592593,532.962963,28.78142405,324.332746324969
n,121.0646688,189.125,92.575,289.975,14.14204724,991.4147650359059
w,138.3922652,200.2352941,103.2941176,431.4117647,22.16531159,264.71069629134075
n,124.08,219.1590909,98.25,638.0681818,22.00022305,226.59554330719436
n,139.5067485,231.1568627,105.8235294,780.7843137,27.49605543,443.02204848914323
n,99.15972222,241.2222222,116.7777778,644.2222222,34.62818377,1480.2146414975457
n,142.8863636,196,86,408,23.26562392,745.3937972015683
n,115.4145861,248.3854167,119.71875,695.1666667,16.55538041,1149.2832058002673
n,126.4508929,170.7142857,70.21428571,251.9285714,27.89448047,621.3369891658031
n,116.1842105,185.28,77.58,414.18,37.86887376,1220.4290814132069
n,127.3010417,202.5666667,112.2333333,390.6,19.31449513,569.0859011159902
w,131.2553846,188.8433735,95.21686747,246.4578313,12.9995701,439.24417957802854
n,120.9151786,194.2857143,86,364.8571429,28.25440186,541.7332262953953
n,132.0470325,173.0877193,72.15789474,230.3684211,10.49943937,1322.518411414671
n,113.4296482,178.52,78.96,209.48,8.50449293,945.7209926475679
w,139.4305556,200.5555556,111.1111111,484.2222222,24.51303508,467.52399206543373
